src_vid,dst_vid,ACT_TYPE,ACT_VALUE,ACT_SOURCE
1042,P28566,EC50,7.7,WOMBAT-PK
1042,P28564,Ki,8.889,DRUG MATRIX
1042,P19327,IC50,8.09,CHEMBL
1042,P14842,Ki,8.5,IUPHAR
1043,O70528,Ki,6.578,DRUG MATRIX
1043,P08588,Ki,5.621,DRUG MATRIX
1043,P07550,Ki,5.722,DRUG MATRIX
1043,P21728,Ki,6.063,DRUG MATRIX
1043,P14416,Ki,8.845,DRUG MATRIX
1043,P08913,Ki,9.099,DRUG MATRIX
1043,P08684,IC50,6.0,DRUG MATRIX
1043,P08908,Ki,9.354,DRUG MATRIX
1043,P28223,Ki,9.0,IUPHAR
1043,P41595,Ki,8.9,IUPHAR
1043,P28335,Ki,8.7,IUPHAR
1043,P50406,Ki,8.6,IUPHAR
1043,P35348,,,WOMBAT-PK
1043,P18089,Ki,8.754,DRUG MATRIX
1043,P35462,Ki,8.836,DRUG MATRIX
1043,P21918,Ki,6.77,PDSP
1043,P11229,Ki,6.064,PDSP
1043,P08172,Ki,6.04,PDSP
1043,P28222,Ki,8.68,CHEMBL
1043,P28221,Ki,9.1,CHEMBL
1043,P18825,Ki,8.742,DRUG MATRIX
1043,P25100,Ki,8.487,DRUG MATRIX
1043,P47898,Ki,7.85,CHEMBL
1043,P30939,Ki,6.8,IUPHAR
1043,P28566,Ki,6.3,IUPHAR
1043,P06239,IC50,5.187,DRUG MATRIX
1043,P06241,IC50,5.5,DRUG MATRIX
1043,P24557,IC50,5.514,DRUG MATRIX
1043,P15823,Ki,8.342,DRUG MATRIX
1043,P28564,Ki,10.041,DRUG MATRIX
1043,P43140,IC50,8.09,CHEMBL
1043,P19327,IC50,9.11,CHEMBL
1043,P14842,Ki,8.0,IUPHAR
1043,P32304,Ki,7.3,IUPHAR
1043,P08909,Ki,7.9,IUPHAR
1043,P56481,IC50,4.77,CHEMBL
1043,P31388,Ki,8.6,IUPHAR
1043,O08786,IC50,4.47,CHEMBL
1043,O32393,IC50,4.15,CHEMBL
1043,P35364,Ki,8.2,IUPHAR
1043,P30966,Ki,8.4,IUPHAR
1043,P30940,IC50,7.3,IUPHAR
1044,O00206,IC50,8.82,CHEMBL
1045,P52333,Kd,6.15,CHEMBL
1045,P09619,Kd,5.85,CHEMBL
1045,P00519,Kd,7.24,CHEMBL
1045,P10721,Kd,5.89,CHEMBL
1045,P00533,IC50,9.22,WOMBAT-PK
1045,P12931,Kd,6.15,CHEMBL
1045,P06239,Kd,6.6,CHEMBL
1045,P07947,Kd,5.66,CHEMBL
1045,P15056,IC50,7.22,CHEMBL
1045,P36888,Kd,6.89,CHEMBL
1045,P07949,Kd,6.48,CHEMBL
1045,P17948,Kd,5.36,CHEMBL
1045,P35968,Kd,5.24,CHEMBL
1045,P35916,Kd,5.68,CHEMBL
1045,P16234,Kd,5.74,CHEMBL
1045,P04626,Kd,5.54,CHEMBL
1045,O43293,Kd,5.22,CHEMBL
1045,Q05397,IC50,5.13,CHEMBL
1045,P08631,Kd,5.74,CHEMBL
1045,Q15303,Kd,6.64,CHEMBL
1045,P53779,Kd,5.37,CHEMBL
1045,O60674,Kd,5.43,CHEMBL
1045,Q13557,Kd,5.19,CHEMBL
1045,Q9H1R3,Kd,6.01,CHEMBL
1045,P41240,Kd,5.02,CHEMBL
1045,P29322,Kd,6.03,CHEMBL
1045,Q2M2I8,Kd,5.92,CHEMBL
1045,P08581,Kd,5.96,CHEMBL
1045,P07948,Kd,6.28,CHEMBL
1045,O94768,Kd,5.03,CHEMBL
1045,O94804,Kd,7.72,CHEMBL
1045,O00444,Kd,5.72,CHEMBL
1045,Q9UQB9,Kd,6.22,CHEMBL
1045,P33981,Kd,5.43,CHEMBL
1045,P42684,Kd,6.7,CHEMBL
1045,P54756,Kd,6.15,CHEMBL
1045,P21802,Kd,5.72,CHEMBL
1045,Q9UEE5,Kd,5.2,CHEMBL
1045,Q9UF33,Kd,6.36,CHEMBL
1045,Q9UKE5,Kd,5.35,CHEMBL
1045,P49674,Kd,6.3,CHEMBL
1045,P09769,Kd,5.96,CHEMBL
1045,O14965,Kd,5.66,CHEMBL
1045,Q9UM73,Kd,5.92,CHEMBL
1045,Q9NRP7,Kd,5.36,CHEMBL
1045,P29320,Kd,5.62,CHEMBL
1045,Q9NSY1,Kd,5.92,CHEMBL
1045,P42685,Kd,5.7,CHEMBL
1045,O14976,Kd,8.51,CHEMBL
1045,O43353,Kd,6.39,CHEMBL
1045,P54762,Kd,5.96,CHEMBL
1045,Q15375,Kd,5.85,CHEMBL
1045,Q9H2G2,Kd,7.59,CHEMBL
1045,Q9HBH9,Kd,6.0,CHEMBL
1045,P45984,Kd,5.7,CHEMBL
1045,Q08345,Kd,6.1,CHEMBL
1045,O15245,IC50,4.79,CHEMBL
1045,P54760,Kd,5.66,CHEMBL
1045,Q3U3Q1,Kd,6.2,CHEMBL
1045,P30530,Kd,5.4,CHEMBL
1045,Q06418,Kd,5.41,CHEMBL
1045,Q13470,Kd,6.2,CHEMBL
1045,P29597,Kd,5.62,CHEMBL
1045,P00523,IC50,6.0,CHEMBL
1045,P48730,Kd,5.46,CHEMBL
1045,P35590,Kd,6.07,CHEMBL
1045,P42681,Kd,5.42,CHEMBL
1045,Q9BUB5,Kd,6.16,CHEMBL
1045,Q9P2K8,Kd,5.36,CHEMBL
1045,Q9H0K1,Kd,5.59,CHEMBL
1045,Q59H18,Kd,6.24,CHEMBL
1045,Q09013,Kd,5.54,CHEMBL
1045,Q8NI60,Kd,5.72,CHEMBL
1045,Q6DT37,Kd,5.47,CHEMBL
1045,P29376,Kd,6.05,CHEMBL
1045,Q96GD4,Kd,5.85,CHEMBL
1045,P51451,Kd,6.72,CHEMBL
1045,Q12866,Kd,6.01,CHEMBL
1045,O14578,Kd,6.17,CHEMBL
1045,Q96D53,Kd,5.6,CHEMBL
1045,P68370,Kd,6.64,CHEMBL
1045,P31152,Kd,5.6,CHEMBL
1045,P19525,Kd,5.89,CHEMBL
1045,O75676,Kd,5.15,CHEMBL
1045,Q8N4C8,Kd,5.89,CHEMBL
1045,Q9UHD2,Kd,5.51,CHEMBL
1045,Q92630,Kd,5.89,CHEMBL
1045,O15197,Kd,5.77,CHEMBL
1045,P32298,Kd,5.14,CHEMBL
1045,Q8NE63,Kd,6.02,CHEMBL
1045,Q9Y2U5,Kd,5.6,CHEMBL
1045,Q99759,Kd,5.64,CHEMBL
1045,Q9UPE1,Kd,5.08,CHEMBL
1045,Q6PHR2,Kd,6.04,CHEMBL
1045,Q56UN5,Kd,7.6,CHEMBL
1045,P57078,Kd,5.31,CHEMBL
1045,P21860,Kd,5.96,CHEMBL
1045,Q52WX2,Kd,5.92,CHEMBL
1045,Q8TBX8,Kd,6.0,CHEMBL
1045,Q13163,Kd,7.02,CHEMBL
1045,Q5S007,Kd,5.54,CHEMBL
1045,O94956,Ki,6.28,IUPHAR
1045,P28028,IC50,7.4,CHEMBL
1046,Q9X6V3,,,WOMBAT-PK
1046,Q5D1E9,,,WOMBAT-PK
1046,Q9X6V7,,,WOMBAT-PK
1046,A1KS91,,,WOMBAT-PK
1046,Q7CHG0,,,WOMBAT-PK
1046,P24228,,,DRUGBANK
1046,P02918,,,DRUGBANK
1046,P02919,,,DRUGBANK
1048,Q12809,IC50,7.41,CHEMBL
1048,Q06278,IC50,4.824,WOMBAT-PK
1048,O95342,IC50,5.39,CHEMBL
1048,O43193,Ki,4.43,CHEMBL
1048,Q16678,IC50,4.4,CHEMBL
1052,O95342,IC50,5.39,CHEMBL
1052,O70127,IC50,4.94,CHEMBL
1053,P31645,Ki,8.959,WOMBAT-PK
1053,P23975,Ki,5.186,PDSP
1053,P28335,Ki,5.597,PDSP
1053,P35348,Ki,5.412,PDSP
1053,P35367,Ki,5.706,PDSP
1053,P11229,Ki,5.906,PDSP
1053,P31652,Ki,9.05,CHEMBL
1053,P23977,Ki,5.09,CHEMBL
1053,Q63380,Ki,4.98,CHEMBL
1054,P08588,Ki,6.9,IUPHAR
1054,Q8K4Z4,Kd,5.2,CHEMBL
1054,B0FL73,Kd,7.0,CHEMBL
1055,P20648|P51164,,,CHEMBL
1056,P14867|P18507|P47870,,,WOMBAT-PK
1056,P18507|P28472|P47869,,,WOMBAT-PK
1056,P18507|P28472|P34903,,,WOMBAT-PK
1056,P18507|P28472|P31644,,,WOMBAT-PK
1057,P31645,Ki,5.243,DRUG MATRIX
1057,Q06278,IC50,6.538,WOMBAT-PK
1057,P04150,Ki,4.725,DRUG MATRIX
1057,Q01959,Ki,4.926,DRUG MATRIX
1057,P03372,EC50,10.3,WOMBAT-PK
1057,P10275,IC50,7.72,CHEMBL
1057,Q12791,EC50,5.6,IUPHAR
1057,Q92731,EC50,9.7,WOMBAT-PK
1057,Q99527,EC50,9.52,WOMBAT-PK
1057,P08185,Ki,5.0,CHEMBL
1057,P08842,IC50,4.08,CHEMBL
1057,P04278,Kd,8.83,CHEMBL
1057,P11474,IC50,8.44,CHEMBL
1057,O95718,IC50,8.49,CHEMBL
1057,P15207,IC50,6.39,CHEMBL
1057,P12530,IC50,4.947,DRUG MATRIX
1057,Q690N0,Ki,5.372,DRUG MATRIX
1057,P06211,IC50,8.72,CHEMBL
1057,Q62986,IC50,8.77,CHEMBL
1057,O08537,IC50,8.64,CHEMBL
1057,P19785,IC50,8.66,CHEMBL
1057,Q16678,Ki,5.72,CHEMBL
1057,P06211|Q62986,IC50,9.45,CHEMBL
1058,P31645,Ki,5.71,DRUG MATRIX
1058,P23975,Ki,4.767,DRUG MATRIX
1058,P41595,Ki,5.133,DRUG MATRIX
1058,P04150,Ki,5.637,DRUG MATRIX
1058,P18825,Ki,5.446,DRUG MATRIX
1058,P0DMS8,Ki,4.91,DRUG MATRIX
1058,P03372,Ki,7.745,DRUG MATRIX
1058,P04278,Kd,5.94,CHEMBL
1058,P06241,IC50,4.638,DRUG MATRIX
1058,P15207,Ki,8.156,DRUG MATRIX
1058,Q690N0,Ki,5.902,DRUG MATRIX
1059,P03372,,,CHEMBL
1062,P06211,Kd,5.52,CHEMBL
1064,P03372,,,CHEMBL
1066,Q92731,,,CHEMBL
1066,P18031,IC50,4.2,CHEMBL
1066,Q06124,Kd,5.08,CHEMBL
1066,P29350,IC50,4.39,CHEMBL
1067,P31645,Ki,5.26,CHEMBL
1067,P04150,Ki,4.75,CHEMBL
1067,P03372,Ki,9.32,CHEMBL
1067,Q92731,EC50,9.9,CHEMBL
1067,P08185,Ki,5.0,CHEMBL
1067,P04278,Kd,6.63,CHEMBL
1067,P12530,IC50,5.06,CHEMBL
1067,P9WPP9,Kd,4.0,CHEMBL
1067,Q9H255,EC50,4.28,CHEMBL
1068,P14867,Ki,7.3,CHEMBL
1068,P47869,Ki,6.94,CHEMBL
1068,P34903,Ki,6.79,CHEMBL
1068,P48169,Ki,6.99,CHEMBL
1068,P14867|P18507|P47870,,,WOMBAT-PK
1068,P14867|P47870|Q99928,,,WOMBAT-PK
1068,P18507|P34903|P47870,,,WOMBAT-PK
1068,P34903|P47870|Q99928,,,WOMBAT-PK
1068,P18507|P31644|P47870,,,WOMBAT-PK
1068,P31644|P47870|Q99928,,,WOMBAT-PK
1071,Q13621,,,WOMBAT-PK
1071,P09211,IC50,5.47,CHEMBL
1071,P08263,IC50,5.3,CHEMBL
1071,P07943,IC50,5.939,DRUG MATRIX
1071,Q14376,IC50,4.85,CHEMBL
1071,P78417,IC50,4.6,CHEMBL
1073,P08684,IC50,6.25,WOMBAT-PK
1073,P28223,IC50,5.48,WOMBAT-PK
1073,P41595,IC50,5.15,WOMBAT-PK
1073,P28335,IC50,5.16,WOMBAT-PK
1073,P9WNL8,,,WOMBAT-PK
1073,P9WNL6,,,WOMBAT-PK
1073,P9WNL5,,,WOMBAT-PK
1073,P20815,IC50,4.72,WOMBAT-PK
1073,P9WNL9,,,CHEMBL
1076,Q8TCU5,,,WOMBAT-PK
1076,P23415,,,WOMBAT-PK
1076,P23416,,,WOMBAT-PK
1076,O14764|P47870|P48169,,,WOMBAT-PK
1078,P14867|P18507|P28472,,,WOMBAT-PK
1082,O70528,Ki,5.877,DRUG MATRIX
1082,Q14994,IC50,5.52,CHEMBL
1082,P35372,Ki,4.964,DRUG MATRIX
1082,P29274,Ki,4.93,DRUG MATRIX
1082,P31645,Ki,7.538,DRUG MATRIX
1082,P23975,Ki,6.022,DRUG MATRIX
1082,Q06278,IC50,6.244,WOMBAT-PK
1082,P04150,Ki,6.11,DRUG MATRIX
1082,Q01959,Ki,6.353,DRUG MATRIX
1082,P0DMS8,Ki,4.73,DRUG MATRIX
1082,P41145,Ki,4.985,DRUG MATRIX
1082,P03372,Kd,9.83,WOMBAT-PK
1082,P10275,IC50,7.3,WOMBAT-PK
1082,Q92731,IC50,8.09,CHEMBL
1082,P04278,Kd,6.81,CHEMBL
1082,P15207,IC50,5.09,CHEMBL
1082,P12530,IC50,5.246,DRUG MATRIX
1082,Q690N0,Ki,6.857,DRUG MATRIX
1082,O15244,IC50,5.66,CHEMBL
1082,Q96FL8,IC50,4.68,CHEMBL
1082,Q86VL8,IC50,4.69,CHEMBL
1083,P9WIE4,,,WOMBAT-PK
1083,P9WGR1,,,DRUGBANK
1083,O42713,IC50,5.4,CHEMBL
1084,P04150,Ki,7.022,DRUG MATRIX
1084,P04278,Kd,8.78,CHEMBL
1084,P15207,Ki,7.357,DRUG MATRIX
1084,Q690N0,Ki,8.111,DRUG MATRIX
1084,O42713,IC50,5.58,CHEMBL
1086,P11229,,,WOMBAT-PK
1086,Q8TCU5,,,WOMBAT-PK
1086,P22303,Ki,4.61,CHEMBL
1086,P06276,Ki,7.7,CHEMBL
1086,O15245,IC50,4.69,CHEMBL
1086,P10980,Ki,8.14,IUPHAR
1086,P08482,Ki,8.51,IUPHAR
1086,Q9N1N9,Ki,7.7,CHEMBL
1086,P81908,IC50,6.14,CHEMBL
1087,O43497,,,WOMBAT-PK
1088,P35498|P35499|Q01118|Q14524|Q15858|Q99250|Q9NY46|Q9UI33|Q9UQD0|Q9Y5Y9,,,CHEMBL
1089,P00918,Ki,9.31,CHEMBL
1089,P00915,Kd,7.85,CHEMBL
1089,P22748,Ki,7.03,CHEMBL
1089,Q16790,Ki,7.47,CHEMBL
1089,O43570,Ki,7.66,CHEMBL
1089,P35218,Ki,7.6,CHEMBL
1089,Q9Y2D0,Ki,7.72,CHEMBL
1089,P43166,Kd,9.15,CHEMBL
1089,O24855,Ki,6.81,CHEMBL
1089,P07451,Ki,5.3,CHEMBL
1089,P23280,Kd,7.48,CHEMBL
1089,Q9ULX7,Ki,8.6,CHEMBL
1089,Q9D6N1,Ki,7.3,CHEMBL
1089,Q95323,Ki,7.89,CHEMBL
1089,P40881,Ki,6.7,CHEMBL
1089,Q50565,Ki,5.27,CHEMBL
1089,Q8N1Q1,Kd,7.89,CHEMBL
1089,Q99N23,Ki,7.24,CHEMBL
1089,P53615,Ki,7.01,CHEMBL
1089,Q5AJ71,Ki,8.1,CHEMBL
1089,Q6FTL6,Ki,5.51,CHEMBL
1089,B5SU02,Ki,7.4,CHEMBL
1089,C0IX24,Ki,6.98,CHEMBL
1089,Q3I4V7,Ki,7.06,CHEMBL
1089,A6YCJ1,Ki,6.41,CHEMBL
1089,P9WPJ7,Ki,5.99,CHEMBL
1089,Q5U9J1,Ki,7.07,CHEMBL
1089,P9WPJ9,Ki,7.57,CHEMBL
1089,P35218|Q9Y2D0,Ki,8.7,CHEMBL
1089,Q3SZX4,Ki,5.02,CHEMBL
1089,Q5TU56,Ki,6.73,CHEMBL
1089,Q31FD6,Ki,8.39,CHEMBL
1089,B2V8E3,Ki,8.03,CHEMBL
1091,Q9BQB6,,,WOMBAT-PK
1094,P31645,Ki,7.367,DRUG MATRIX
1094,P23975,Ki,5.682,DRUG MATRIX
1094,P08172,Ki,6.983,DRUG MATRIX
1094,P03372,Ki,6.495,DRUG MATRIX
1094,P10275,,,CHEMBL
1094,P22303,IC50,5.187,DRUG MATRIX
1094,P33261,IC50,5.889,DRUG MATRIX
1094,P15207,Ki,7.745,DRUG MATRIX
1094,Q690N0,Ki,7.585,DRUG MATRIX
1095,P03372,,,WOMBAT-PK
1095,P06401,,,WOMBAT-PK
1095,P21397,IC50,5.368,DRUG MATRIX
1095,P15207,Ki,5.685,DRUG MATRIX
1095,Q690N0,Ki,7.678,DRUG MATRIX
1097,Q14524,,,WOMBAT-PK
1097,Q99250,,,UNKNOWN
1097,P35499,,,WOMBAT-PK
1097,O14649,IC50,4.41,CHEMBL
1097,P04775,IC50,6.0,IUPHAR
1098,B1LRJ1,Ki,8.52,CHEMBL
1100,Q99720,Ki,6.18,CHEMBL
1101,P08588,,,SCIENTIFIC LITERATURE
1102,P14867|P18507|P47870,EC50,8.1,WOMBAT-PK
1102,P18507|P28472|P47869,,,WOMBAT-PK
1102,P18507|P28472|P34903,,,WOMBAT-PK
1102,P18507|P28472|P31644,,,WOMBAT-PK
1103,P35354,IC50,5.7,CHEMBL
1103,P23219,IC50,5.577,DRUG MATRIX
1107,P29275,Ki,4.76,CHEMBL
1109,P14867,EC50,4.96,CHEMBL
1109,P15538,IC50,9.3,CHEMBL
1109,P19099,IC50,10.0,CHEMBL
1109,P02718,IC50,4.3,CHEMBL
1109,P14867|P18507|P47870,EC50,5.456,WOMBAT-PK
1109,P18507|P47869|P47870,EC50,5.46,CHEMBL
1110,P03372,,,WOMBAT-PK
1110,P06401,,,WOMBAT-PK
1110,P04278,Kd,8.23,CHEMBL
1111,P14416,Ki,5.638,PDSP
1111,P31645,Ki,6.051,PDSP
1111,P08908,Ki,7.071,PDSP
1111,P35367,Ki,5.509,PDSP
1112,P08183,Ki,3.282,WOMBAT-PK
1112,Q92887,Km,3.21,WOMBAT-PK
1112,O75469,,,WOMBAT-PK
1112,P11388,IC50,7.3,IUPHAR
1112,P33527,,,WOMBAT-PK
1112,Q9UNQ0,,,WOMBAT-PK
1112,O95255,,,WOMBAT-PK
1112,O15438,,,WOMBAT-PK
1112,Q02880,IC50,7.16,CHEMBL
1112,P12530,IC50,5.497,DRUG MATRIX
1113,P35354,IC50,6.1,WOMBAT-PK
1113,P23219,IC50,4.92,CHEMBL
1113,P43116,Ki,7.102,PDSP
1113,Q16539,IC50,6.28,CHEMBL
1113,P79208,IC50,6.64,CHEMBL
1115,P08183,IC50,5.12,CHEMBL
1115,Q92887,IC50,5.11,CHEMBL
1115,P33527,IC50,5.07,CHEMBL
1115,Q9UNQ0,IC50,5.22,CHEMBL
1115,O15438,IC50,5.29,CHEMBL
1115,P03369,IC50,9.0,WOMBAT-PK
1115,Q72547,,,CHEMBL
1115,P25779,IC50,5.4,CHEMBL
1115,Q9WKE8,IC50,8.0,CHEMBL
1115,Q9WJQ2,IC50,8.89,CHEMBL
1116,P10276,,,WOMBAT-PK
1116,P48443,,,DRUGBANK
1117,P31652,EC50,7.63,CHEMBL
1117,P23977,EC50,6.63,CHEMBL
1117,Q9WTR4,EC50,6.19,CHEMBL
1118,P08183,,,WOMBAT-PK
1118,P62942,IC50,8.26,WOMBAT-PK
1118,P42345,IC50,8.7,IUPHAR
1122,P10275,,,WOMBAT-PK
1122,P11511,IC50,5.692,WOMBAT-PK
1123,P43220,IC50,9.18,CHEMBL
1123,P32301,IC50,9.85,CHEMBL
1125,Q9UHC9,Kd,6.66,IUPHAR
1125,Q6T3U3,Ki,6.7,CHEMBL
1126,P15538,IC50,8.2,CHEMBL
1126,P19099,IC50,9.1,CHEMBL
1126,P15539,IC50,6.72,CHEMBL
1126,P11511,Ki,10.3,CHEMBL
1128,P04293,,,WOMBAT-PK
1128,P09252,,,WOMBAT-PK
1129,P25021,Kd,7.93,WOMBAT-PK
1129,P00918,Ki,7.24,CHEMBL
1129,P00915,Ki,6.04,CHEMBL
1129,P22748,Ki,6.03,CHEMBL
1129,Q16790,Ki,6.9,CHEMBL
1129,O43570,Ki,7.34,CHEMBL
1129,P35218,Ki,5.84,CHEMBL
1129,Q9Y2D0,Ki,5.27,CHEMBL
1129,P43166,Ki,8.52,CHEMBL
1129,P23280,Ki,7.01,CHEMBL
1129,Q9ULX7,Ki,6.17,CHEMBL
1129,P47747,Kd,7.0,CHEMBL
1129,Q8N1Q1,Ki,6.77,CHEMBL
1129,O15244,IC50,4.44,CHEMBL
1129,Q96FL8,IC50,6.12,CHEMBL
1129,Q86VL8,IC50,4.44,CHEMBL
1129,P07900,IC50,5.304,WOMBAT-PK
1129,O75751,IC50,4.97,CHEMBL
1130,Q9Y466,Kd,5.18,SCIENTIFIC LITERATURE
1132,Q12809,Ki,4.6,CHEMBL
1132,Q15746,Ki,4.44,CHEMBL
1132,Q02156,IC50,5.52,CHEMBL
1132,Q16512,IC50,5.77,CHEMBL
1132,O75582,IC50,5.3,CHEMBL
1132,P13500,IC50,5.16,CHEMBL
1132,Q16513,IC50,6.11,CHEMBL
1132,P17612,AC50,5.81,CHEMBL
1132,Q62868,IC50,5.72,CHEMBL
1132,Q13464,Ki,7.0,CHEMBL
1132,O75116,Kd,7.11,CHEMBL
1137,Q12809,EC50,7.44,WOMBAT-PK
1137,P47989,Ki,9.22,WOMBAT-PK
1137,P80457,IC50,8.52,CHEMBL
1137,P22985,IC50,8.4,CHEMBL
1140,Q12879,,,DRUGBANK
1140,Q13224,IC50,4.284,WOMBAT-PK
1141,P35354,,,KEGG DRUG
1141,P23219,IC50,6.049,DRUG MATRIX
1142,Q06278,IC50,6.523,WOMBAT-PK
1142,P0DMS8,Ki,6.224,DRUG MATRIX
1142,Q13936,,,WOMBAT-PK
1142,Q01668,,,WOMBAT-PK
1142,P11712,IC50,5.339,DRUG MATRIX
1142,O95180,Ki,5.168,WOMBAT-PK
1142,Q96RI1,IC50,5.3,CHEMBL
1142,P13569,Ki,8.4,IUPHAR
1142,P35498|Q99250|Q9NY46,IC50,4.43,CHEMBL
1145,P05979,IC50,5.41,CHEMBL
1145,P79208,IC50,5.09,CHEMBL
1145,P35354,,,WOMBAT-PK
1145,P23219,,,WOMBAT-PK
1148,P41595,Ki,5.49,CHEMBL
1148,P41180,EC50,6.0,CHEMBL
1148,P12746,IC50,4.04,CHEMBL
1148,P62157,Kd,6.3,CHEMBL
1148,P35384,EC50,4.921,SCIENTIFIC LITERATURE
1150,P08588,Ki,6.004,PDSP
1150,P07550,Ki,5.111,PDSP
1150,P08913,Ki,6.428,PDSP
1150,P31645,Ki,6.176,PDSP
1150,P08908,Ki,6.172,PDSP
1150,P28223,Ki,5.845,PDSP
1150,P41595,Ki,6.398,PDSP
1150,P28335,Ki,5.79,PDSP
1150,P50406,Ki,5.042,PDSP
1150,P34969,Ki,5.378,PDSP
1150,P35348,Ki,6.57,PDSP
1150,P18089,Ki,6.717,PDSP
1150,P11229,Ki,6.016,PDSP
1150,P08172,Ki,5.726,PDSP
1150,P20309,Ki,5.489,PDSP
1150,P08173,Ki,5.167,PDSP
1150,P28222,Ki,5.736,PDSP
1150,P28221,Ki,6.195,PDSP
1150,P18825,Ki,6.735,PDSP
1150,P35368,Ki,6.848,PDSP
1150,P31652,EC50,6.97,CHEMBL
1152,P23975,Ki,4.673,DRUG MATRIX
1152,P28223,Ki,6.218,DRUG MATRIX
1152,P28335,Ki,5.906,DRUG MATRIX
1152,P35462,Ki,4.331,DRUG MATRIX
1152,P13945,Ki,4.032,DRUG MATRIX
1152,Q01959,Ki,5.164,DRUG MATRIX
1152,P0DMS8,Ki,5.492,DRUG MATRIX
1152,P22303,IC50,4.808,DRUG MATRIX
1152,Q07869,IC50,6.0,CHEMBL
1152,P37231,EC50,6.24,CHEMBL
1152,P02692,Kd,7.74,CHEMBL
1152,P25779,IC50,4.21,CHEMBL
1153,P21728,Kd,7.55,CHEMBL
1153,P14416,Ki,6.09,CHEMBL
1153,P21918,Ki,6.96,PDSP
1153,P21917,Ki,6.5,IUPHAR
1153,P61169,Kd,5.89,CHEMBL
1153,P18901,Ki,8.52,CHEMBL
1153,P20288,Ki,6.1,CHEMBL
1153,B2RXH2,Ki,5.72,CHEMBL
1153,P25100|P35348|P35368,Kd,5.3,CHEMBL
1153,P29276,Ki,7.45,CHEMBL
1153,P55789,AC50,5.86,CHEMBL
1154,P35354,IC50,5.23,WOMBAT-PK
1154,P23219,IC50,5.36,WOMBAT-PK
1154,P79208,IC50,4.58,CHEMBL
1154,O62664|O62698,IC50,4.01,CHEMBL
1154,Q8N695,IC50,4.57,IUPHAR
1155,P07550,EC50,6.9,WOMBAT-PK
1155,Q8K4Z4,IC50,7.22,CHEMBL
1164,P35372,EC50,9.001,WOMBAT-PK
1164,Q99720,IC50,6.45,CHEMBL
1164,Q12809,IC50,5.74,CHEMBL
1164,P41145,Ki,6.71,CHEMBL
1164,P41143,Ki,6.17,CHEMBL
1164,O15245,IC50,4.34,CHEMBL
1164,P33535,Ki,8.82,CHEMBL
1164,P42866,Ki,8.23,CHEMBL
1164,P97266,Ki,8.07,CHEMBL
1164,P32300,IC50,8.03,CHEMBL
1164,P33533,Ki,6.4,CHEMBL
1164,P41144,Ki,6.71,CHEMBL
1164,P31390,IC50,4.7,CHEMBL
1164,Q60492,IC50,5.3,CHEMBL
1164,P33533|P33535|P34975|Q9R0C9,Ki,8.67,CHEMBL
1164,P21397|P27338,Ki,5.26,CHEMBL
1165,Q9Y5Y4,IC50,6.26,CHEMBL
1170,Q12809,IC50,4.67,CHEMBL
1170,P08183,Km,5.699,WOMBAT-PK
1170,P35367,Ki,8.0,WOMBAT-PK
1170,P46721,Km,5.699,WOMBAT-PK
1171,P11712,IC50,5.699,DRUG MATRIX
1171,P33261,IC50,6.0,DRUG MATRIX
1171,P14060,Ki,4.96,CHEMBL
1171,P24008,Ki,8.17,CHEMBL
1171,P31214,IC50,9.55,CHEMBL
1171,P24008|P31214,Ki,7.26,CHEMBL
1171,P31213,IC50,8.26,WOMBAT-PK
1171,P18405,IC50,7.58,WOMBAT-PK
1175,Q12809,Ki,4.704,DRUG MATRIX
1175,P27815|Q07343|Q08493|Q08499,,,CHEMBL
1175,Q13946|Q9NP56,,,CHEMBL
1175,O60658|O95263,,,CHEMBL
1176,Q14524,IC50,5.19,CHEMBL
1176,Q12809,IC50,5.41,CHEMBL
1176,P35499,Ki,4.745,WOMBAT-PK
1176,P22460,Kd,4.0,IUPHAR
1176,Q9Y3Q4,IC50,2.77,WOMBAT-PK
1176,Q96RP8,Kd,5.1,IUPHAR
1176,Q63881,IC50,5.0,CHEMBL
1176,P15388,IC50,4.0,IUPHAR
1177,P0AES4,IC50,4.79,WOMBAT-PK
1178,P35354,IC50,5.959,SCIENTIFIC LITERATURE
1178,P23219,IC50,6.268,SCIENTIFIC LITERATURE
1180,P21964,,,DRUG LABEL
1183,Q8XJ01,,,WOMBAT-PK
1183,P10275,IC50,6.25,WOMBAT-PK
1183,P14780,IC50,4.19,WOMBAT-PK
1184,P04818,,,DRUGBANK
1184,P07607,IC50,9.4,CHEMBL
1187,P08684,IC50,5.1,CHEMBL
1187,P10613,IC50,6.699,WOMBAT-PK
1187,P11712,IC50,4.54,CHEMBL
1187,P33261,IC50,5.09,CHEMBL
1187,Q16850,Kd,4.4,CHEMBL
1187,P9WPP9,Kd,6.7,CHEMBL
1187,Q4WNT5,Kd,4.92,CHEMBL
1187,Q96W81,Kd,5.39,CHEMBL
1187,P9WPP7,Kd,5.22,CHEMBL
1187,Q7Z1V1,IC50,6.06,CHEMBL
1188,P28223,IC50,5.1,WOMBAT-PK
1188,P0CS13,,,CHEMBL
1188,P12461,,,DRUGBANK
1188,P02829,EC50,6.15,WOMBAT-PK
1189,P23921,IC50,6.0,IUPHAR
1189,P31350,IC50,6.0,IUPHAR
1189,P35218,Ki,6.88,CHEMBL
1189,P25099,Ki,8.23,CHEMBL
