src_vid,dst_vid,ACT_TYPE,ACT_VALUE,ACT_SOURCE
58,P00918,IC50,4.33,CHEMBL
58,Q03282|Q03283|Q03284,,,CHEMBL
58,P07374,IC50,4.76,CHEMBL
58,Q0PXQ5,IC50,4.76,CHEMBL
59,P14416,,,DRUGBANK
59,P15207,Ki,6.1,CHEMBL
60,P12821,IC50,6.5,CHEMBL
60,P08473,IC50,9.0,CHEMBL
60,P12822,IC50,6.38,CHEMBL
60,P07861,IC50,8.32,CHEMBL
60,P08049,IC50,8.4,CHEMBL
60,P19621,IC50,8.21,CHEMBL
60,P42892,IC50,8.1,CHEMBL
60,P00800,IC50,5.02,CHEMBL
62,P23141,IC50,4.3,CHEMBL
62,P14061,IC50,4.73,CHEMBL
62,P37059,IC50,5.42,CHEMBL
62,P80365,IC50,6.7,CHEMBL
62,P28845,IC50,6.1,CHEMBL
62,O00748,IC50,4.39,CHEMBL
65,P11229,EC50,6.11,CHEMBL
65,P08172,Ki,6.5,IUPHAR
65,P20309,EC50,6.66,CHEMBL
65,P08173,Ki,5.6,IUPHAR
65,P08912,EC50,6.1,CHEMBL
65,P36544,Ki,5.1,CHEMBL
65,P58154,Ki,5.5,CHEMBL
65,P02718,Ki,7.37,CHEMBL
65,Q05941,Ki,5.45,CHEMBL
65,P12389|P12390,Ki,7.96,CHEMBL
65,P04757|P12390,Ki,7.39,CHEMBL
65,P04757|P12392,Ki,6.21,CHEMBL
65,P09483|P12390,Ki,8.12,CHEMBL
65,P09483|P12392,Ki,7.24,CHEMBL
65,P17787|P43681,EC50,5.8,CHEMBL
65,P08482|P08483|P08485|P08911|P10980,IC50,7.92,CHEMBL
65,H6TY12,EC50,4.94,CHEMBL
66,P99999,,,WOMBAT-PK
66,P15692,,,WOMBAT-PK
66,P04179,,,WOMBAT-PK
66,P48637,,,DRUGBANK
66,Q9UPY5,,,SCIENTIFIC LITERATURE
67,P05023|P05026|P13637|P14415|P50993|P54709|P54710|Q13733,,,CHEMBL
73,P21728,,,DRUGBANK
73,P14416,,,DRUGBANK
73,P04156,EC50,5.3,CHEMBL
74,P35354,IC50,5.12,WOMBAT-PK
74,P23219,IC50,5.77,WOMBAT-PK
74,P60045,Kd,5.2,WOMBAT-PK
74,P19440,IC50,4.44,CHEMBL
74,P05979,IC50,6.52,CHEMBL
74,P79208,IC50,5.62,CHEMBL
74,O62664,IC50,6.46,CHEMBL
74,Q9UHC3,IC50,4.0,IUPHAR
74,Q6XQN6,Ki,9.3,CHEMBL
76,Q8TDS4,EC50,5.6,IUPHAR
78,P10276,,,WOMBAT-PK
78,O95342,IC50,4.74,CHEMBL
78,P13631,,,CHEMBL
78,O70127,IC50,4.71,CHEMBL
80,P41595,Ki,6.152,DRUG MATRIX
80,P08253,IC50,5.0,CHEMBL
80,P11387,,,KEGG DRUG
80,P11388|Q02880,,,KEGG DRUG
81,P08172|P08173|P08912|P11229|P20309,,,SCIENTIFIC LITERATURE
82,P08183,,,WOMBAT-PK
82,P35367,IC50,7.16,WOMBAT-PK
82,P31389,IC50,5.21,CHEMBL
85,P00491,Ki,4.04,CHEMBL
85,P09250,,,WOMBAT-PK
85,P9WP01,Kd,4.9,CHEMBL
85,P04293,,,DRUG LABEL
85,P09252,,,WOMBAT-PK
85,Q9QNF7,,,WOMBAT-PK
85,P04407,,,WOMBAT-PK
87,P23415,EC50,5.89,CHEMBL
87,P10276,Ki,5.96,CHEMBL
87,P10826,Ki,7.47,CHEMBL
87,P13631,Ki,6.89,CHEMBL
88,Q9IF40,,,CHEMBL
88,P54098,,,WOMBAT-PK
88,Q03732,EC50,7.08,CHEMBL
89,P47989,IC50,4.96,CHEMBL
89,P42356|Q8TCG2|Q9BTU6|Q9UBF8,Ki,4.07,CHEMBL
90,P29274,EC50,6.155,WOMBAT-PK
90,P30542,EC50,6.509,WOMBAT-PK
90,P29275,EC50,4.62,WOMBAT-PK
90,P0DMS8,Ki,6.54,IUPHAR
90,P55263,IC50,6.0,WOMBAT-PK
90,P00813,Kd,4.602,WOMBAT-PK
90,P25099,Ki,8.29,CHEMBL
90,P30543,Ki,7.52,CHEMBL
90,P28647,Ki,7.0,CHEMBL
90,Q9TVW2,Ki,5.05,CHEMBL
90,O43318,Kd,5.36,CHEMBL
90,P23526,Km,5.796,WOMBAT-PK
90,P29276|P30543,Ki,8.3,CHEMBL
90,Q9BTU6,IC50,5.0,IUPHAR
90,Q8TCG2,IC50,5.0,IUPHAR
90,P04406,IC50,4.46,CHEMBL
90,P00515|P00517|P05131|P31322,Ki,4.82,CHEMBL
90,Q8TEK3,IC50,4.0,CHEMBL
91,P49652,EC50,5.55,CHEMBL
91,P51575,EC50,7.25,IUPHAR
91,P51582,Ki,6.2,CHEMBL
91,O60674,Kd,5.89,CHEMBL
91,P47900,EC50,6.07,CHEMBL
91,P41231,EC50,7.1,IUPHAR
91,Q96G91,EC50,5.17,CHEMBL
91,Q8TD43,IC50,5.8,IUPHAR
91,Q9BPV8,IC50,5.4,IUPHAR
91,P41148,IC50,5.49,CHEMBL
91,P49137,IC50,5.55,CHEMBL
91,O43318,Kd,5.55,CHEMBL
91,Q99571,EC50,6.3,IUPHAR
91,Q13304,EC50,7.43,IUPHAR
91,P56373,Ki,7.836,PDSP
91,Q12931,IC50,4.5,CHEMBL
91,P29410,Ki,4.05,CHEMBL
91,P11142,IC50,4.76,CHEMBL
91,P0DMV8,IC50,5.47,CHEMBL
91,Q7TN37,IC50,6.1,IUPHAR
91,P49653,EC50,5.85,IUPHAR
91,Q9JJX6,EC50,6.0,IUPHAR
91,O35811,EC50,6.3,IUPHAR
91,P51577,EC50,5.3,IUPHAR
91,P51579,EC50,6.0,IUPHAR
91,P51578,EC50,6.0,IUPHAR
92,P09467,IC50,6.85,CHEMBL
92,P00636,IC50,5.89,CHEMBL
92,P12931,IC50,7.0,CHEMBL
